Menelif the Elder Elementalist entered Dungeon Exodus#November 6, 2025 at 04:39
Menelif the Elder Elementalist entered Castle Exodus#November 6, 2025 at 04:39
Menelif the Elder Elementalist entered the City of Britain#November 6, 2025 at 04:39
Menelif the Elder Elementalist entered the Bank of Britain#November 6, 2025 at 04:39
Menelif the Elder Elementalist entered the City of Britain#November 6, 2025 at 04:37
Menelif the Elder Elementalist entered the Village of Yew#November 6, 2025 at 04:36
Menelif the Elder Elementalist entered the City of Britain#November 6, 2025 at 04:35
Karlayos the Grandmaster Alchemist entered the City of Britain#November 6, 2025 at 04:32
Karlayos the Grandmaster Alchemist entered the Bank of Britain#November 6, 2025 at 04:32
Karlayos the Grandmaster Alchemist entered the City of Britain#November 6, 2025 at 04:32
Karlayos the Grandmaster Alchemist entered the Ratmen Fort#November 6, 2025 at 04:31
Karlayos the Grandmaster Alchemist entered the Land of Sosaria#November 6, 2025 at 04:31
Karlayos the Grandmaster Alchemist entered the Ratmen Fort#November 6, 2025 at 04:30
Karlayos the Grandmaster Alchemist entered the Land of Sosaria#November 6, 2025 at 04:30
Karlayos the Grandmaster Alchemist entered the Ratmen Fort#November 6, 2025 at 04:30
Karlayos the Grandmaster Alchemist entered the Land of Sosaria#November 6, 2025 at 04:26
Karlayos the Grandmaster Alchemist entered the Graveyard#November 6, 2025 at 04:26
Karlayos the Grandmaster Alchemist entered the Land of Sosaria#November 6, 2025 at 04:20
Karlayos the Grandmaster Alchemist entered the City of Britain#November 6, 2025 at 04:17
Karlayos the Grandmaster Alchemist entered the Town of Devil Guard#November 6, 2025 at 03:50
Karlayos the Grandmaster Alchemist entered the City of Britain#November 6, 2025 at 03:50
Karlayos the Grandmaster Alchemist entered the Forgotten Halls#November 6, 2025 at 03:10
Konrad Curze the Legendary Duelist entered the Land of Sosaria#November 6, 2025 at 02:58
Karlayos the Grandmaster Alchemist entered the City of Britain#November 6, 2025 at 02:54
Konrad Curze the Legendary Duelist entered the Land of Sosaria#November 6, 2025 at 02:32
Konrad Curze the Legendary Duelist entered the Land of Sosaria#November 6, 2025 at 02:32
Karlayos the Grandmaster Alchemist entered the Town of Devil Guard#November 6, 2025 at 02:23
Karlayos the Grandmaster Alchemist entered the Land of Sosaria#November 6, 2025 at 02:22
Konrad Curze the Legendary Duelist entered Dungeon Hythloth#November 6, 2025 at 02:05
Konrad Curze the Legendary Duelist entered the Land of Lodoria#November 6, 2025 at 02:03
Konrad Curze the Legendary Duelist entered the Land of Sosaria#November 6, 2025 at 01:59
Konrad Curze the Legendary Duelist entered the Land of Sosaria#November 6, 2025 at 01:52
Konrad Curze the Legendary Duelist entered the City of Britain#November 6, 2025 at 01:52
Raja Ampat the Legendary Archmage entered the Land of Sosaria#November 6, 2025 at 00:33
Raja Ampat the Legendary Archmage entered the Land of Sosaria#November 6, 2025 at 00:33
Raja Ampat the Legendary Archmage entered the Vault of the Black Knight#November 6, 2025 at 00:30
Raja Ampat the Legendary Archmage entered the Island of the Black Knight#November 6, 2025 at 00:28
Raja Ampat the Legendary Archmage entered the Vault of the Black Knight#November 6, 2025 at 00:28
Raja Ampat the Legendary Archmage entered the Island of the Black Knight#November 6, 2025 at 00:28
Daryan the Legendary Tailor entered the Land of Lodoria#November 6, 2025 at 00:27
Daryan the Legendary Tailor entered the Land of Lodoria#November 6, 2025 at 00:27
Daryan the Legendary Tailor entered the Land of Sosaria#November 6, 2025 at 00:27
Raja Ampat the Legendary Archmage entered the Land of Lodoria#November 6, 2025 at 00:27
Raja Ampat the Legendary Archmage entered the Land of Lodoria#November 6, 2025 at 00:27
Raja Ampat the Legendary Archmage entered the Land of Sosaria#November 6, 2025 at 00:26
Daryan the Legendary Tailor entered the Land of Lodoria#November 6, 2025 at 00:25
Raja Ampat the Legendary Archmage entered the Land of Lodoria#November 6, 2025 at 00:25
Raja Ampat the Legendary Archmage entered the Land of Lodoria#November 6, 2025 at 00:25
Daryan the Legendary Tailor entered the Land of Sosaria#November 6, 2025 at 00:24
Daryan the Legendary Tailor entered the Land of Lodoria#November 6, 2025 at 00:24
Daryan the Legendary Tailor entered the Land of Lodoria#November 6, 2025 at 00:24
Daryan the Legendary Tailor entered the Land of Sosaria#November 6, 2025 at 00:23
Daryan the Legendary Tailor entered the Land of Lodoria#November 6, 2025 at 00:21
Daryan the Legendary Tailor entered the City of Lodoria#November 6, 2025 at 00:20
